title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Sredstva za sub. osobama u stanju soc. potreba,697320,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Smještaj maloljet. i punoljet. štićenika u ustanove,782554,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Izdaci za javnu kuhinju,222939,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Jednokratne pomoći - 3 Fond Solidarnosti,199892,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Djeca i odrasli pod starateljstvom,87348,2013,10,Penzije i socijalno,10.4,Porodica,10.4.0,Porodica,Brčko Distrikt
Materinski dodatak,137829,2013,10,Penzije i socijalno,10.4,Porodica,10.4.0,Porodica,Brčko Distrikt
Oprema za novorođenče,132173,2013,10,Penzije i socijalno,10.4,Porodica,10.4.0,Porodica,Brčko Distrikt
Nabavka lijekova i trošk. sahrane za korisnike st. soc. pomoći,90872,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Brčko Distrikt
Pododjeljenje za turizam kulturu i sport,4801595.23,2013,08,Kultura i religija,08.6,Administracija kulture i religije,08.6.0,Administracija kulture i religije,Brčko Distrikt
Osnovno obrazovanje,19064028.54,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Brčko Distrikt
Srednje obrazovanje,9476623,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Brčko Distrikt
Pododjeljenje za zajed. poslove,183803.5,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Brčko Distrikt
Obdenište 'Naša djeca',1595085.46,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.1,Predškolsko obrazovanje,Brčko Distrikt
Pododjeljenje za visoko obrazov. i nauku,564553.68,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Brčko Distrikt
Stručna služba osnovnog obrazovanja,695364,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Brčko Distrikt
Pododjeljenje za ljud. resur. I zapošljavanje.,385152.05,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Brčko Distrikt
Pedagoška institucija,250269.66,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Brčko Distrikt
Stručna služba srednjeg obrazovanja,133279,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Brčko Distrikt
Pododjeljenje za puteve i parkove,8544431.29,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Brčko Distrikt
Pododjeljenje za javne objekte,3823651.34,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Brčko Distrikt
Pododjeljenje za jav. saobrač.i održav.vozila,307665,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Brčko Distrikt
"Odjeljenja za raselj. lica, izbjegl. i stamben. pitanja",3917186,2013,06,Naše ulice,06.6,Stambena administracija,06.6.0,Stambena administracija,Brčko Distrikt
Pododjeljenje za kapit. investic.,2889922.49,2013,06,Naše ulice,06.6,Stambena administracija,06.6.0,Stambena administracija,Brčko Distrikt
Pododjeljenje za razvoj i strateg. komun. usluga,1993022,2013,06,Naše ulice,06.5,Razvoj zajednice,06.5.0,Razvoj zajednice,Brčko Distrikt
Domaća i strana pozajmljivanja i otplate duga,12636363,2013,01,Rad Vlade,01.7,Izdvajanja za javni dug,01.7.0,Izdvajanja za javni dug,Brčko Distrikt
"Sudske presude i rješenja, sudska i vansuds poravnanja",4937410,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Sredstva rezerve,28601,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Brčko Distrikt
Kapitalni izdaci - bez šifre projekta,33012,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Brčko Distrikt
